Pseudo-terminal will not be allocated because stdin is not a terminal.
[32mForwarding HTTP traffic from https://1f64121820c89eddea44d056b7c29239.serveo.net
[0mHTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/signin/client-log
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/signin/client-log
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/signin/client-log
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/signin/client-log
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/signin/client-log
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/signin/client-log
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/signin/client-log
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/signin/client-log
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/signin/client-log
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/signin/client-log
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/signin/cookie-banner?cookieBannerVariant=hidden&
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/signin/load-resource
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/signin/client-log
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/signin/client-log
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/signin/client-log
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/signin/client-log
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/signin/client-log
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/signin/client-log
HTTP request from 89.186.64.25 to https://1f64121820c89eddea44d056b7c29239.serveo.net/platform/tealeaftarget
